time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,vwaprizz14,vwaprizz14_ema,Plot,Plot,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line,buy,sell_sig,sell_sig,sell_sig,sell_sig,test,RSI
1226431800,9.3,9.3,9.3,9.3,NaN,NaN,NaN,NaN,NaN,701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,50,90,10,0,0,0,0,0,NaN,NaN
1227882600,10.85,10.85,10.85,10.85,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,50,90,10,0,0,0,0,0,NaN,NaN
1228163400,11.97,11.97,11.97,11.97,NaN,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,100,50,90,10,0,0,0,0,0,NaN,100
1228314600,11.95,11.95,11.95,11.95,NaN,11.017499999999998,NaN,NaN,NaN,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,98.5239852398523,50,90,10,0,0,0,0,0,NaN,98.5239852398523
1228318200,12.41,12.41,12.41,12.41,11.295999999999998,11.794999999999998,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,99.12087912087907,50,90,10,0,0,0,0,0,NaN,99.12087912087907
1228332600,12.2,12.2,12.2,12.2,11.476799999999997,12.132499999999999,NaN,NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,72.3916532905296,50,90,10,0,0,0,0,0,NaN,72.3916532905296
1229441400,12.25,12.25,12.25,12.25,11.631439999999998,12.202499999999999,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,75.53342816500705,50,90,10,0,0,0,0,0,NaN,75.53342816500705
1229621400,12.28,12.38,12.28,12.38,11.781151999999999,12.309999999999999,NaN,NaN,NaN,300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,84.6291331546023,50,90,10,0,0,0,0,0,NaN,84.6291331546023
1230316200,12.7,12.75,12.7,12.75,11.974921599999998,12.395,NaN,NaN,NaN,850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,95.06739317464867,50,90,10,0,0,0,0,0,NaN,95.06739317464867
1230561000,13.02,13.02,13,13,12.179937279999999,12.594999999999999,NaN,NaN,NaN,784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,97.42784507252877,50,90,10,0,0,0,0,0,NaN,97.42784507252877
1230564600,13,14,13,14,12.543949823999998,13.032499999999999,NaN,NaN,NaN,421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,99.46727785176697,50,90,10,0,0,0,0,0,NaN,99.46727785176697
1230571800,13.75,13.75,13.75,13.75,12.785159859199998,13.374999999999998,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,71.22895734912503,50,90,10,0,0,0,0,0,NaN,71.22895734912503
